Label,历时,平均功率,平均踏频,平均扭矩,平均心率,最大心率,平均坡度,强度,区间
,80,175,91,19,136,150,2.9%,92%,4
,28,210,75,27,151,153,1.6%,110%,5
,27,218,96,22,161,164,2.1%,114%,5
,31,204,81,24,152,156,2.5%,107%,5
,30,201,103,19,153,155,0.3%,105%,5
,93,204,84,23,160,166,2.5%,107%,5
,16,353,83,41,139,144,3.4%,185%,7
,71,200,94,20,151,158,0.3%,105%,5
,401,228,96,23,173,180,-0.2%,120%,5
,18,325,84,37,163,167,-0.3%,171%,7
,28,225,88,25,127,134,6.6%,118%,5
,72,201,84,23,152,158,5.8%,105%,5
,55,210,75,27,157,158,7%,110%,5
,111,210,81,25,160,167,6.4%,110%,5
,110,222,80,27,166,172,7.9%,116%,5